episode_id,sec_bin,norm_content,cnt
86,457,人生如棋落子无悔,11380
86,456,人生如棋落子无悔,8723
86,458,人生如棋落子无悔,7489
86,1,念头通达,5446
86,459,人生如棋落子无悔,3735
86,481,恭送何仙师,3252
86,2,念头通达,3116
86,482,恭送何仙师,2948
86,103,乱披风锤法,2591
86,464,人生如棋落子无悔,2511
86,104,乱披风锤法,2427
86,462,人生如棋落子无悔,2421
86,546,太痛了,2270
86,483,恭送何仙师,2130
86,461,人生如棋落子无悔,2038
86,547,太痛了,1884
86,463,人生如棋落子无悔,1881
86,0,念头通达,1843
86,486,恭送何仙师,1673
86,487,恭送何仙师,1565
86,548,太痛了,1552
86,101,乱披风锤法,1472
86,106,乱披风锤法,1370
86,489,恭送何仙师,1358
86,488,恭送何仙师,1273
86,484,恭送何仙师,1265
86,541,痛太痛了,1133
86,102,乱披风锤法,1106
86,460,人生如棋落子无悔,1092
86,465,人生如棋落子无悔,1072
86,542,痛太痛了,1029
86,549,太痛了,998
86,491,恭送何仙师,983
86,107,乱披风锤法,981
86,454,人生如棋落子无悔,880
86,492,恭送何仙师,876
86,105,乱披风锤法,872
86,466,人生如棋落子无悔,835
86,494,恭送何仙师,794
86,455,人生如棋落子无悔,781
86,108,乱披风锤法,729
86,109,乱披风锤法,717
86,493,恭送何仙师,627
86,453,人生如棋落子无悔,580
86,485,恭送何仙师,578
86,467,人生如棋落子无悔,562
86,543,痛太痛了,526
86,490,恭送何仙师,511
86,452,人生如棋落子无悔,481
86,451,人生如棋落子无悔,368
86,3,念头通达,338
86,544,痛太痛了,330
86,468,人生如棋落子无悔,271
86,550,太痛了,248
86,469,人生如棋落子无悔,213
86,545,太痛了,200
86,480,恭送何仙师,172
86,551,太痛了,159
86,100,乱披风锤法,144
86,456,落子无悔,144
86,457,落子无悔,141
86,-1,念头通达,135
86,495,恭送何仙师,98
86,497,恭送何仙师,75
86,458,落子无悔,74
86,552,太痛了,67
86,496,恭送何仙师,66
86,459,落子无悔,60
86,498,恭送何仙师,54
86,540,痛太痛了,53
86,545,痛太痛了,46
86,4,念头通达,45
86,5,念头通达,39
86,6,念头通达,39
86,7,念头通达,39
86,547,痛太痛了,39
86,8,念头通达,37
86,551,盖亚,37
86,499,恭送何仙师,36
86,555,盖亚,35
86,470,人生如棋落子无悔,32
86,548,痛太痛了,32
86,546,痛太痛了,31
86,549,痛太痛了,31
86,550,盖亚,31
86,552,盖亚,31
86,554,盖亚,31
86,10,念头通达,30
86,9,念头通达,29
86,13,念头通达,28
86,14,念头通达,27
86,455,落子无悔,27
86,12,念头通达,26
86,450,人生如棋落子无悔,23
86,11,念头通达,22
86,110,乱披风锤法,22
86,553,盖亚,22
86,550,痛太痛了,21
86,63,念头通达,20
86,64,念头通达,19
86,308,好师傅,19
86,471,人生如棋落子无悔,19
86,500,恭送何仙师,19
86,558,盖亚,19
86,503,恭送何仙师,18
86,556,盖亚,17
86,103,乱披风,16
86,311,好师傅,16
86,490,人生如棋落子无悔,16
86,309,好师傅,15
86,492,人生如棋落子无悔,15
86,310,好师傅,14
86,454,落子无悔,14
86,473,人生如棋落子无悔,14
86,501,恭送何仙师,14
86,551,痛太痛了,14
86,557,盖亚,14
86,460,落子无悔,13
86,16,念头通达,12
86,65,念头通达,12
86,454,无悔,12
86,502,恭送何仙师,12
86,504,恭送何仙师,12
86,19,念头通达,11
86,66,念头通达,11
86,68,念头通达,11
86,78,念头通达,11
86,105,乱披风,11
86,489,人生如棋落子无悔,11
86,491,人生如棋落子无悔,11
86,541,太痛了,11
86,544,太痛了,11
86,452,落子无悔,10
86,461,落子无悔,10
86,462,落子无悔,10
86,474,人生如棋落子无悔,10
86,494,人生如棋落子无悔,10
86,505,恭送何仙师,10
86,506,恭送何仙师,10
86,553,太痛了,10
86,21,念头通达,9
86,22,念头通达,9
86,67,念头通达,9
86,229,人间真龙韩跑跑,9
86,306,好师傅,9
86,472,人生如棋落子无悔,9
86,543,太痛了,9
86,554,太痛了,9
86,104,哈哈哈哈哈,8
86,112,乱披风锤法,8
86,272,记得跑,8
86,307,好师傅,8
86,313,好师傅,8
86,389,前方高能,8
86,475,人生如棋落子无悔,8
86,479,恭送何仙师,8
86,488,人生如棋落子无悔,8
86,499,人生如棋落子无悔,8
86,540,彩环,8
86,546,痛,8
86,597,太痛了,8
86,15,念头通达,7
86,24,念头通达,7
86,56,念头通达,7
86,61,念头通达,7
86,71,念头通达,7
86,103,突然鬼畜,7
86,104,乱披风,7
86,104,哈哈哈哈,7
86,127,哈哈哈哈,7
86,223,你知道的太多了,7
86,224,你知道的太多了,7
86,227,你知道的太多了,7
86,228,人间真龙韩跑跑,7
86,341,人生如棋落子无悔,7
86,465,落子无悔,7
86,476,人生如棋落子无悔,7
86,479,人生如棋落子无悔,7
86,481,人生如棋落子无悔,7
86,495,人生如棋落子无悔,7
86,507,恭送何仙师,7
86,539,墨彩环,7
86,539,痛太痛了,7
86,542,泪目,7
86,543,泪目,7
86,547,泪目,7
86,547,痛,7
86,548,痛,7
86,550,啊,7
86,17,念头通达,6
86,20,念头通达,6
86,28,念头通达,6
86,69,念头通达,6
86,70,念头通达,6
86,103,哈哈哈,6
86,105,哈哈哈哈,6
86,128,哈哈哈哈,6
86,221,你知道的太多了,6
86,226,你知道的太多了,6
86,455,无悔,6
86,455,泪目,6
86,459,无悔,6
86,477,人生如棋落子无悔,6
86,477,恭送何仙师,6
86,492,听风亭,6
86,496,人生如棋落子无悔,6
86,498,人生如棋落子无悔,6
86,503,生死意境,6
86,505,生老病死,6
86,508,恭送何仙师,6
86,509,恭送何仙师,6
86,539,彩环,6
86,542,太痛了,6
86,544,痛啊,6
86,545,彩环,6
86,548,泪目,6
86,560,感谢制作组,6
86,561,盖亚,6
86,563,盖亚,6
