episode_id,minute,emo_like,emo_touching,other,quote_ritual,ritual_call,role_label,viewing_status
86,-1,139.0,0.0,11.0,0.0,0.0,0.0,0.0
86,0,11358.0,9.0,246.0,1.0,8.0,0.0,5.0
86,1,139.0,0.0,77.0,0.0,0.0,0.0,1.0
86,2,490.0,1.0,962.0,19.0,23.0,7.0,15.0
86,3,588.0,1.0,14307.0,8.0,34.0,10.0,7.0
86,4,557.0,13.0,1122.0,7.0,27.0,18.0,17.0
86,5,351.0,18.0,1309.0,5.0,29.0,24.0,6.0
86,6,146.0,2.0,862.0,2.0,26.0,23.0,6.0
86,7,315.0,2.0,1763.0,37.0,85.0,45.0,8.0
86,8,407.0,10.0,1170.0,1.0,47.0,47.0,3.0
86,9,480.0,45.0,1645.0,12.0,77.0,49.0,26.0
86,10,304.0,26.0,914.0,8.0,37.0,22.0,11.0
86,11,363.0,90.0,1361.0,9.0,49.0,30.0,13.0
86,12,248.0,25.0,1085.0,4.0,15.0,14.0,26.0
86,13,216.0,47.0,758.0,6.0,10.0,9.0,15.0
86,14,598.0,206.0,1585.0,40.0,21.0,16.0,4.0
86,15,840.0,194.0,48998.0,22.0,12.0,16.0,2.0
86,16,506.0,56.0,22275.0,8.0,33.0,24.0,19.0
86,17,233.0,87.0,1413.0,22.0,30.0,36.0,14.0
86,18,686.0,11185.0,2089.0,11.0,34.0,29.0,5.0
86,19,153.0,57.0,210.0,5.0,0.0,0.0,1.0
86,20,14.0,12.0,54.0,0.0,0.0,0.0,1.0
