term,cnt
霸气,58074
来了来了,21727
来了,12192
念头通达,2179
韩立,638
温天仁,191
太帅了,176
哈哈哈,173
玄骨,171
右眼皮,159
哈哈,137
韩老魔,134
我避他锋芒,108
辟邪神雷,108
霸气侧漏,108
好好好,104
哈哈哈哈哈哈,100
紫灵,96
帅啊,89
哈哈哈哈,85
你说你惹他干,83
老魔,80
冰封王座,76
我就知道今天,76
来了来了来了,74
死因,73
等一下,72
十亿尊魂幡,71
我剑也未尝不,68
好帅,66
聒噪,62
反派死于话多,61
多宝男,60
阴魔斩,58
巧了,58
跟我比法宝,58
感谢制作组,56
第一人,52
你已有取死之,51
二阶段,51
元婴之下第一,50
韩大哥,49
VS,49
法宝,49
哈哈哈哈哈,48
666,48
摁住段奥娟,48
找死,47
逼王,46
螺旋丸,46
不是,45
我靠,44
不好意思,42
右眼跳灾,42
自古对波左边,40
青易,39
牛逼,39
扶贫,39
啊啊啊啊啊啊,39
给过你机会了,39
boss,39
我去,39
劳模,38
逼格拉满,38
干嘛,38
vs,37
丸辣,37
这么装,36
极阴岛,36
霸气外露,36
硬气,35
六极真魔功,34
眼皮,34
半步胶带期,33
不杀了我还想,33
bgm,33
五环,33
BGM,33
卧槽,33
专业对口,32
