rpid,like,content
272801625744,26832,也不知道为什么，结婴的那首主题曲变奏一出来，眼泪就出来了，一路追更感觉像是一起进阶了
272798618336,26184,看着老魔今日结婴，我突然想到了主题曲的这首歌词：这一路破空，苦难有千重，谁人懂？ 2021年11月官方准备推出第二季年番时，想换掉这首《不凡》而推出《天地行》，众多道友一路劝谏，最后官方沿用了这首《不凡》。如今快过去4年了，回首往昔历史证明观众的眼光是无比正确的。建议官方继续沿用这首主题曲吧，让这首主题曲陪着老魔一路高歌猛进，也陪着我们众多道友慢慢变老，当然片尾曲也还继续使用遁出红尘。
271534240785,23572,老天呀，终于挤进来了，恭贺韩天尊结婴成功！！感谢各位道友的鼎力支持！！大家别忘了去@原力数字科技 观看小彩蛋哦[蹲蹲][蹲蹲]
271520619361,21784,一楼散修观老魔结婴天象，分发护心丸，邪修尽散，文明观礼！
271520845153,18270,"你知道我等这天有多久了么？！「凡人·重返天南」系列周边企划今日开启,【韩立元婴风雷翅1/6雕像级手办】震撼发售！8月16日~8月31日订购享早鸟特惠，并赠送早鸟限定69元【Q版元婴韩立键帽】一个！一键查看>>>https://b23.tv/qFRNq0z"
272798559856,18027,#凡人修仙传动画# #凡人重返天南# 第4集，年番第32集 结婴功成 道途跃升 每周六中午11:00，bilibili独家呈现。道友们快来一键追番！ 同证结婴大道，共探手办优化！凡人动画授权紫灵·仙子手办，优化效果请道友掌眼>>>https://b23.tv/iP05b0D
271520621489,15590,诸位正道道友，速速与我结护宗大阵，今次定要护天尊结婴周全。
271520885169,14420,韩立结婴，宏老魔第一时间赶来支持！二话不说的先来个一键三连再观看！
271520753313,12631,五年了~~~恭祝韩老魔结婴成功！！！！！ 伪灵根，散修，这一路走来真不容易，尼玛的怎么眼泪都流下来了[大哭] 山东道友前来护法并发来贺电！[打call]
271520702241,11977,来活儿！
272798878848,11929,一介凡胎入道艰， 两百寒暑叩玄关。 落云巅上结婴日， 天南册中留号年。 青衫磊落藏锋刃， 风云激荡隐真颜。 长生路上多枯骨， 独向苍茫证大千。恭喜韩天尊结婴成功。
271520792673,9541,韩老魔终于结婴啦，有多少人是从2020年7月25号开播一直追了五年的[打call]
272799016848,9522,不亏元婴天象，竟令我等法器全部失灵
272798712256,5835,韩跑跑终成韩老魔！四色灵气卷落云，元婴在手，这次真的不跑了！[打call][打call]
272798674960,5754,堪磨百载悟玄经，元婴方知妙境明。 浮世凡尘何所有，念头通达释性灵！——砂某恭贺韩道友功成结婴！
271523328241,5058,胶带期就是不一样，b站都差点胶带在这了
271520928625,5034,朕也来祝贺韩道友，朕也马上结元婴达到6级啦[星星眼][星星眼][星星眼]
271529999937,4970,我不知道制作组是不是有意为之，韩立凝结元婴之后的第一个镜头是一只鹰冲天而飞，伴有一声鹰啸。这个可以说是一飞冲天一鸣惊人，但是我脑袋里想到的是鹰击长空，然后下一个镜头是水里的鱼对应鱼翔浅底，后两个镜头是花开和竹笋生长，对应万类霜天竞自由。然后切过来是韩立的灵力所化巨人，对应问苍茫大地，谁主沉浮？我觉得如果是的话那制作组真的很牛逼了
272798846896,4616,卧槽，真么快阿，恭喜韩老魔结婴
272799120192,4574,在下六级没过，韩道友结婴一定要成功呀！[Cat_coffeebath]
